NCR ID,Entity Name,Regional Compliance Enforcement Authority,BA,DP,GO Category 1,GO Category 2,GOP Category 1,GOP Category 2,PCPA,RC,RP,RSG,TO,TOP,TP,TSP,DPUF,FRSG,RRSG
NCR11516,"ACE O&M, LLC",MRO,,,GO-1,GO-2,GOP-1,GOP-2,,,,,,,,,,,
NCR11645,AE Power Services LLC,MRO,,,,,GOP-1,,,,,,,,,,,,
NCR13461,"AEM Wind, LLC",MRO,,,,GO-2,,GOP-2,,,,,,,,,,,
NCR01056,"AEP as Agent for AEP OK Transco., PSCO, and SWEPCO",MRO,,DP,GO-1,,GOP-1,,,,RP,,TO,TOP,TP,,,,
NCR12527,AEP Renewables - Central Region,MRO,,,GO-1,,,,,,,,,,,,,,
NCR11679,AES US Renewables,MRO,,,GO-1,GO-2,GOP-1,GOP-2,,,,,,,,,,,
NCR13264,Alexander Wind Farm LLC,MRO,,,,GO-2,,GOP-2,,,,,,,,,,,
NCR00959,Alexandria Light & Power,MRO,,,,,,,,,,,TO,,,,,,
NCR12062,Alliance for Cooperative Energy Services Power Marketing LLC,MRO,,,,,GOP-1,,,,,,,,,,,,
NCR00961,Alliant Energy - East,MRO,BA,DP,GO-1,GO-2,GOP-1,GOP-2,,,RP,,,,,,,,
NCR00962,Alliant Energy - West,MRO,BA,DP,GO-1,GO-2,GOP-1,GOP-2,,,RP,,,,,,,,
NCR10248,Ameren Missouri,MRO,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR00685,American Transmission Co. LLC,MRO,,,,,,,,,,,TO,TOP,TP,,,,
NCR13279,"Apple River Solar, LLC",MRO,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR01060,Arkansas Electric Cooperative Corporation,MRO,,DP,GO-1,,GOP-1,,,,RP,,TO,,,,,,
NCR13417,"Aspenall Energies (Delaware), LLC",MRO,,,,GO-2,,GOP-2,,,,,,,,,,,
NCR10002,Atlantic Municipal Utilities (Board Of Waterworks & Electric Power Plant Trustees),MRO,,,,,,,,,,,TO,,,,,,
NCR10259,"Avangrid Power, LLC",MRO,,,GO-1,GO-2,GOP-1,GOP-2,,,,,,,,,,,
