code,current_ncr_id,current_meaning,market,kind,status,research_question,recommended_next_step,confidence
MECS,(none),,,,needs_research,"Should MECS (NCR08023) get an area alias? MISO lists LBA #28; map uses CONS+DECO and folds registry row into ITC combine (NCR00803).","Confirm MISO Attachment VV / FERC BAA: umbrella MECS vs split utility LBAs. Do not add alias until decided.",medium
CPLE,NCR01298,Carolina Power & Light East / Duke Energy Progress,,,confirmed,"FERC/EIA BA code CPLE = Duke Energy Progress East under DEP (NCR01298). Not a separate org.","Keep alias on NCR01298. Revisit after Duke Carolinas 1U BA consolidation (target Jan 2027).",high
CPLW,NCR01298,Carolina Power & Light West / Duke Energy Progress,,,confirmed,"FERC/EIA BA code CPLW = Duke Energy Progress West under DEP (NCR01298). Not a separate org.","Keep alias on NCR01298. Revisit after Duke Carolinas 1U BA consolidation (target Jan 2027).",high
MIUP,NCR00951,Wisconsin Electric Power Michigan Upper Peninsula area,,,confirmed,"MISO LBA pair with WEC on NCR00951 (Wisconsin Electric / We Energies). Renderer and area-aliases agree.","No change. Preserve shared-org pair in both area-aliases.json and MISO_CONTROL_AREA_CODES.",high
WEC,NCR00951,Wisconsin Electric / We Energies,,,confirmed,"MISO LBA pair with MIUP on NCR00951. Renderer and area-aliases agree.","No change. Preserve shared-org pair in both area-aliases.json and MISO_CONTROL_AREA_CODES.",high
EAI,NCR01234,"Entergy Arkansas, Inc.",,,confirmed,"MISO LBA pair with EES on NCR01234 (Entergy). Renderer and area-aliases agree.","No change. EMBA also aliases same org but is not in renderer MISO set (see EMBA row).",high
EES,NCR01234,Entergy Electric System,,,confirmed,"MISO LBA pair with EAI on NCR01234 (Entergy). Renderer and area-aliases agree.","No change.",high
EMBA,NCR01234,Entergy Mississippi Balancing Authority,,,needs_research,"FERC BAA lists EMBA for Entergy Mississippi; alias exists but MISO_CONTROL_AREA_CODES only lists EAI/EES for NCR01234.","Decide: add EMBA to renderer MISO set or document as alias-only / legacy sub-code.",medium
LAGT,NCR12543,1803 Electric Cooperative,,,confirmed,"MISO LBA LAGT = NCR12543 (1803 Electric Cooperative) per MISO tariff / renderer. Retargeted from SUP-louisiana-generating.","Keep on NCR12543. Louisiana Generating retains LEGN.",high
LEGN,SUP-louisiana-generating,Louisiana Generating / LaGen legacy area,,,needs_research,"FERC BAA uses code LAGN for Louisiana Generating; project uses LEGN. LAGT no longer points to LaGen.","Decide whether to add LAGN alias row or keep LEGN as project-owner legacy label only.",medium
LAGN,(none),,,,needs_research,"FERC active BAA code LAGN = Louisiana Generating LLC; no row in area-aliases.json (LEGN used instead).","Research whether LAGN should supplement or replace LEGN for LaGen supplemental org.",medium
CIN,SUP-duke-energy-ohio-kentucky,Cinergy / Duke Energy Ohio-Kentucky legacy area,,,confirmed,"Project-owner supplied MISO LBA (CIN). Same org also carries PJM DEOK. marketFamily() prefers PJM when both apply.","Keep CIN per name-shortest.md. Document focus-mode behavior for dual-market org if needed.",high
DEOK,SUP-duke-energy-ohio-kentucky,PJM transmission zone: Duke Energy Ohio/Kentucky,PJM,transmission_zone,confirmed,"PJM zone on same org as MISO CIN. Focus mode classifies org as PJM first.","Keep both aliases. No change unless focus-mode policy changes.",high
YAD,NCR01169,Yadkin / Cube Hydro Carolinas legacy hydro area,,,confirmed,"Project-owner supplied legacy BA label on registry org NCR01169 (Cube Hydro Carolinas).","Keep unchanged per name-shortest.md.",high
ALTE,NCR00961,Alliant Energy - East,,,confirmed,"MISO LBA; was wrongly on Minnesota Power (NCR00674). Fixed; QA drift guard now catches recurrence.","No change. Edit area-aliases.json + MISO_CONTROL_AREA_CODES together if ever needed.",high
ALTW,NCR00962,Alliant Energy West / Wisconsin Power and Light,,,confirmed,"MISO LBA for Alliant Energy - West (NCR00962).","No change.",high
AMIL,SUP-ameren-illinois,Ameren Illinois,,,confirmed,"Project-owner MISO LBA on supplemental org. Renderer and area-aliases agree.","No change.",high
MP,NCR00674,Minnesota Power,,,confirmed,"MISO LBA for Minnesota Power; distinct from ALTE (Alliant East). allow_acronym_conflict set.","No change.",high
DUK,NCR01219,Duke Energy Carolinas,,,confirmed,"Legacy BA code for Duke Energy Carolinas (DEC). Sibling to CPLE/CPLW on DEP. Not in MISO focus set.","Keep alias. Revisit if Carolinas 1U merges DUK/CPLE/CPLW (target Jan 2027).",high
NIPS,NCR02611,Northern Indiana Public Service Company,,,needs_research,"Alias uses NIPS; name-shortest.md prefers canonical NIPSCO. Explicit user request kept NIPS historically.","Decide whether NIPSCO replaces NIPS as alias code or NIPS stays as project-owner override.",low
