order,ncr_id,source_dataset,map_status,combined_into,entity_name,rendered_shortest,current_shortest,current_short,current_normal,tier,shortest_type,shortest_source,shortest_source_url,acronym,acronym_source,area_aliases,parent_org,region,roles,org_type,weight,issues,collision_ids,nearby_collision_ids
"1","SUP-albertville-municipal-utilities-board","supplemental","published",,"Albertville Municipal Utilities Board","LBRTVL","Albertville Municipal","","Albertville Municipal Utilities Board","normal",,,,"Albertville Municipal",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"2","SUP-alliance-municipal-electric-system","supplemental","published",,"Alliance Municipal Electric System","LLNC","Alliance Municipal","","Alliance Municipal Electric System","normal",,,,"Alliance Municipal",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"3","SUP-brownfield-municipal-light-power","supplemental","published",,"Brownfield Municipal Light & Power","BRWNFL","Brownfield Municipal","","Brownfield Municipal Light & Power","normal",,,,"Brownfield Municipal",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"4","SUP-city-of-green-cove-springs","supplemental","published",,"City of Green Cove Springs","GCS","Green Cove Springs","","City of Green Cove Springs","normal",,,,"Green Cove Springs",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"5","SUP-city-of-natchitoches-utility-department","supplemental","published",,"City of Natchitoches Utility Department","NTCHTC","Natchitoches Utility","","City of Natchitoches Utility Department","normal",,,,"Natchitoches Utility",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"6","SUP-city-of-olive-hill-utility-department","supplemental","published",,"City of Olive Hill Utility Department","OH","Olive Hill Utility","","City of Olive Hill Utility Department","normal",,,,"Olive Hill Utility",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"7","SUP-kbr-rural-public-power-district","supplemental","published",,"KBR Rural Public Power District","KR","KBR Rural Public","","KBR Rural Public Power District","normal",,,,"KBR Rural Public",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"8","SUP-public-utility-district-no-1-of-jefferson-county","supplemental","published",,"Public Utility District No. 1 of Jefferson County","JC","Jefferson County","","Public Utility District No. 1 of Jefferson County","normal",,,,"Jefferson County",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"9","SUP-public-utility-district-no-1-of-wahkiakum-county","supplemental","published",,"Public Utility District No. 1 of Wahkiakum County","WC","Wahkiakum County","","Public Utility District No. 1 of Wahkiakum County","normal",,,,"Wahkiakum County",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"10","SUP-town-of-boyce-electric-utility","supplemental","published",,"Town of Boyce Electric Utility","Boyce","Boyce Electric Utility","","Town of Boyce Electric Utility","normal",,,,"Boyce Electric Utility",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"11","SUP-town-of-erath-electric-utility","supplemental","published",,"Town of Erath Electric Utility","Erath","Erath Electric Utility","","Town of Erath Electric Utility","normal",,,,"Erath Electric Utility",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"12","SUP-town-of-gueydan-electric-utility","supplemental","published",,"Town of Gueydan Electric Utility","GYDN","Gueydan Electric Utility","","Town of Gueydan Electric Utility","normal",,,,"Gueydan Electric Utility",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"13","SUP-town-of-welsh-electric-utility","supplemental","published",,"Town of Welsh Electric Utility","Welsh","Welsh Electric Utility","","Town of Welsh Electric Utility","normal",,,,"Welsh Electric Utility",,"[]",,,"[""DP""]","municipal","1","[""missing_org_names_entry"",""over_15_characters""]","[]","[]"
"14","NCR12253","geocoded","combined_member","NCR12252","Spring Canyon Energy III LLC",,"Spring Canyon III","Spring Canyon Energy III","Spring Canyon Energy III LLC","normal",,,,"Spring Canyon III","common_market_name","[]",,"WECC","[""GO"",""GOP""]",,"4","[""over_15_characters""]","[]","[]"
