order,region,ncr_id,entity_name,roles
1,"WECC","NCR13175","Sierra Pinta Energy Storage, LLC","GO"
2,"WECC","NCR13263","Siete Solar, LLC","GO"
3,"WECC","NCR12173","Sigurd Solar LLC","GO"
4,"WECC","NCR05392","Silicon Valley Power","DP GO GOP TO TOP TP"
5,"WECC","NCR13070","Silver Peak Solar, LLC","GO"
6,"WECC","NCR13104","Silver Sage Windpower, LLC","GO"
7,"WECC","NCR13163","Silver State Solar Power North LLC","GO"
8,"WECC","NCR12522","SJS 1 Storage, LLC","GO"
9,"WECC","NCR13377","Skysol, LLC","GO"
10,"WECC","NCR13203","SloughHouse Solar, LLC","GO"
11,"WECC","NCR13361","Sol Orchard Imperial 1, LLC","GO"
12,"WECC","NCR13250","Solar Alpine LLC","GO GOP"
13,"WECC","NCR13481","Solar of Alamosa LLC","GO GOP"
14,"WECC","NCR12480","Solar Partners XI, LLC","GO"
15,"WECC","NCR11549","Solar Star California XIII, LLC","GO"
16,"WECC","NCR11424","Solar Star California XIX, LLC","GO GOP"
17,"WECC","NCR11704","Solar Star California XLI, LLC","GO"
18,"WECC","NCR11432","Solar Star California XX, LLC","GO GOP"
19,"WECC","NCR13351","Solar Star Colorado III, LLC","GO"
20,"WECC","NCR13251","Solar Star Lost Hills LLC","GO"
21,"WECC","NCR12324","Sonoran West Solar Holdings, LLC","GO"
22,"WECC","NCR11054","South Feather Power Project","GO GOP"
23,"WECC","NCR05398","Southern California Edison Company","DP GO GOP RP TO TOP TP"
24,"WECC","NCR11396","Southern Power Company","GO GOP"
25,"WECC","NCR13021","Spanish Peaks Solar LLC","GO"
26,"WECC","NCR11557","SPI Anderson 2","GO GOP"
27,"WECC","NCR05529","Spindle Hill Energy LLC","GO GOP"
28,"WECC","NCR12252","Spring Canyon Energy II LLC","GO GOP"
29,"WECC","NCR12253","Spring Canyon Energy III LLC","GO GOP"
30,"WECC","NCR11529","Spring Canyon Energy LLC","GO GOP"
31,"WECC","NCR13252","SR McNeal, LLC","GO"
32,"WECC","NCR13253","SR Rattlesnake, LLC","GO"
33,"WECC","NCR13514","SSI O&M, LLC","GOP"
34,"WECC","NCR13130","Stanton Battery Energy Storage, LLC","GO"
35,"WECC","NCR13132","Stanton Energy Reliability Center, LLC","GO"
36,"WECC","NCR12028","Steamboat  Hills, LLC","GO GOP"
37,"WECC","NCR12508","Steel Solar, LLC","GO"
38,"WECC","NCR12425","Strauss Wind, LLC","GO GOP"
39,"WECC","NCR12319","Sun Mountain Solar 1, LLC","GO"
40,"WECC","NCR13498","Sun Pond, LLC","GO"
41,"WECC","NCR12164","Sun Streams 2","GO"
42,"WECC","NCR13016","Sun Streams Expansion, LLC","GO"
43,"WECC","NCR12463","Sun Streams PVS, LLC","GO"
44,"WECC","NCR05413","Sunnyside Cogeneration Associates - GO","GO GOP"
45,"WECC","NCR13186","Sunray Energy 2 LLC","GO"
46,"WECC","NCR11471","Sunrise Power Company, LLC","GO GOP"
47,"WECC","NCR13532","SunZia Transmission, LLC","TO TP"
48,"WECC","NCR12475","Superstition Energy Storage, LLC","GO"
49,"WECC","NCR05029","SWG Arapahoe, LLC","GO GOP"
50,"WECC","NCR13215","TA-Acacia, LLC","GO"
51,"WECC","NCR13117","TAG","GO GOP"
52,"WECC","NCR05329","Talen Montana, LLC","GO GOP"
53,"WECC","NCR11904","Techren Solar I LLC","GO"
54,"WECC","NCR05420","Termoelectrica de Mexicali, S. de R.L. de C.V.","GO GOP"
55,"WECC","NCR05043","Terra-Gen Dixie Valley, LLC","GO GOP"
56,"WECC","NCR12142","Terra-Gen Operating Company LLC","GO GOP"
57,"WECC","NCR10345","Three Buttes Windpower LLC","GO"
58,"WECC","NCR11737","Three Peaks Power LLC","GO"
59,"WECC","NCR13378","Titan Solar 1, LLC","GO"
60,"WECC","NCR11594","Tonopah Solar Energy, LLC","GO GOP"
61,"WECC","NCR11090","Top of the World Wind Energy LLC","GO"
62,"WECC","NCR11342","Topaz Solar Farms LLC","GO GOP"
63,"WECC","NCR12222","Townsite Solar, LLC","GO"
64,"WECC","NCR13197","TPE Alta Luna, LLC","GO"
65,"WECC","NCR03036","Trans Bay Cable LLC","TO TOP TP"
66,"WECC","NCR05533","TransAlta Centralia Generation, LLC","GO GOP"
67,"WECC","NCR11457","TransAlta Wyoming Wind LLC","GO GOP"
68,"WECC","NCR05430","Transmission Agency of Northern California","TO TP TSP"
69,"WECC","NCR05431","Tri-Dam Project of the Oakdale and South San Joaquin Irrigation Districts","GO GOP"
70,"WECC","NCR10030","Tri-State Generation and Transmission Association, Inc. - Reliability","GO GOP RP TO TOP TP TSP"
71,"WECC","NCR13227","Tropico, LLC","GO"
72,"WECC","NCR05434","Tucson Electric Power","BA DP GO GOP PC RP TO TOP TP TSP"
73,"WECC","NCR13314","Tulare Solar Center, LLC","GO"
74,"WECC","NCR12488","Tumbleweed Energy Storage, LLC","GO GOP"
75,"WECC","NCR05435","Turlock Irrigation District","BA DP GO GOP PC RP TO TOP TP TSP"
76,"WECC","NCR13315","Turquoise Nevada LLC","GO"
77,"WECC","NCR05442","U.S. Department of Energy, Hanford Field Office","TO"
78,"WECC","NCR05436","Umatilla Electric Cooperative Assoc.","DP TO TP"
79,"WECC","NCR05536","United Power, Inc","DP"
80,"WECC","NCR13548","Upstream HC-1 LLC","GO"
81,"WECC","NCR05441","US Bureau of Reclamation","GO GOP TO"
82,"WECC","NCR05444","US Navy, Naval Base Kitsap","TO"
83,"WECC","NCR05537","USACE - Omaha District","GO GOP"
84,"WECC","NCR05538","USACE - Portland District","GO GOP"
85,"WECC","NCR05539","USACE - Seattle District","GO GOP"
86,"WECC","NCR05540","USACE - Walla Walla District","GO GOP"
87,"WECC","NCR05445","Utah Associated Municipal Power Systems","GO GOP RP"
88,"WECC","NCR05446","Utah Municipal Power Agency","GO GOP"
89,"WECC","NCR12050","Utah Red Hills Renewable Park,  LLC","GO"
90,"WECC","NCR10216","Valencia Power, LLC","GO GOP"
91,"WECC","NCR11959","Valentine Solar, LLC","GO"
92,"WECC","NCR13372","Valley Center ESS, LLC","GO"
93,"WECC","NCR05447","Valley Electric Association, Inc","DP TO TOP TP"
94,"WECC","NCR11078","Vantage Wind Energy LLC","GO GOP"
95,"WECC","NCR13353","Vega Solar, LLC","GO"
96,"WECC","NCR13198","Ventura Energy Storage, LLC","GO"
97,"WECC","NCR13329","VESI 12 LLC","GO"
98,"WECC","NCR13475","VESI 15 LLC","GO"
99,"WECC","NCR12512","Vikings Energy Farm LLC","GO"
100,"WECC","NCR13255","Vista Energy Storage, LLC","GO"
101,"WECC","NCR11905","Voyager II","GO GOP"
102,"WECC","NCR11989","Voyager Wind I, LLC","GO GOP"
